Province_cn,CO2_Mt,GDP,Pop,Closeness,Category,Rank
北京,71.5544670473354,41610,2184,0.9952761865283017,High-High,1
上海,178.588614209177,44653,2475,0.4325536870575755,Medium-High,2
广东,619.353860410031,129119,12657,0.3524925048227493,Medium-High,3
四川,307.863676214341,56750,8374,0.32532459364113997,Medium-High,4
重庆,162.055223095746,29129,3213,0.32402161922963973,Medium-High,5
福建,299.219512343733,53109,4188,0.31307772949516016,Medium-High,6
浙江,460.894579359081,77715,6577,0.2928148623735414,Medium-High,7
海南,44.6919345401215,6818,1027,0.2916174710179411,Medium-High,8
湖南,307.058038080964,48670,6604,0.2857302264896402,Medium-High,9
江西,223.645074946473,32074,4528,0.26808107244302093,Medium-High,10
湖北,372.810249713111,53735,5844,0.26013987378793796,Medium-High,11
云南,220.046746229424,28954,4693,0.25214603184376494,Medium-High,12
江苏,821.345905674838,122876,8515,0.25090994804630934,Medium-High,13
天津,152.678504319368,16311,1363,0.21929616473799243,Medium-High,14
河南,528.975824777069,61345,9872,0.2132694293413446,Medium-High,15
广西,279.107504323731,26301,5047,0.19966497656216953,Medium-High,16
安徽,441.077218568729,45045,6127,0.1971275701249112,Medium-High,17
青海,55.3334344741701,3610,595,0.1845207595980691,Medium-High,18
贵州,251.866531099655,20165,3856,0.18449320571292888,Medium-High,19
陕西,365.526129061286,32773,3956,0.1840090269662462,Medium-High,20
吉林,186.839588764021,13070,2347,0.17795454278891423,Medium-High,21
山东,920.905304452066,87435,10163,0.16853647457378013,Medium-High,22
甘肃,195.741193567455,11202,2492,0.1650674223288583,Medium-High,23
黑龙江,273.293395891859,15901,3099,0.15748656569321046,Medium-High,24
辽宁,525.713479151335,28975,4197,0.12758596805249683,Medium-High,25
宁夏,247.423050285139,5069,728,0.10766264320387588,Medium-High,26
河北,862.273721856768,42370,7420,0.10484906599797429,Medium-High,27
山西,629.336654408677,25642,3481,0.09421922135647733,Medium-High,28
新疆,524.476393687672,17741,2585,0.09254464334720543,Medium-High,29
内蒙古,878.769744615783,23159,2401,0.025833775282328702,Medium-High,30
